HGNC ID	Approved symbol	Gene group name	Mouse genome database ID
HGNC:26971	ABHD15	Abhydrolase domain containing	MGI:1914727
HGNC:49685	ABHD15-AS1	Antisense RNAs	
HGNC:13921	ABHD16A	MicroRNA protein coding host genes|Abhydrolase domain containing	MGI:99476
HGNC:16128	ABHD16B	Abhydrolase domain containing	MGI:3607711
HGNC:28756	ABHD17A	Depalmitoylases|Abhydrolase domain containing	MGI:106388
HGNC:28394	ABHD17AP1		
HGNC:34041	ABHD17AP3		
HGNC:34042	ABHD17AP4		
HGNC:34043	ABHD17AP5		
HGNC:34044	ABHD17AP6		
HGNC:38508	ABHD17AP7		
HGNC:38509	ABHD17AP8		
HGNC:38510	ABHD17AP9		
HGNC:24278	ABHD17B	Abhydrolase domain containing|Depalmitoylases	MGI:1917816
HGNC:26925	ABHD17C	Depalmitoylases|Abhydrolase domain containing	MGI:1917428
HGNC:26111	ABHD18	Abhydrolase domain containing	MGI:1915468
HGNC:11320	ABI1		MGI:104913
HGNC:20035	ABI1P1		
HGNC:24011	ABI2	SCAR/WAVE complex	MGI:106913
HGNC:29859	ABI3		MGI:1913860
HGNC:17265	ABI3BP	Fibronectin type III domain containing	MGI:2444583
HGNC:1364	ABITRAM		MGI:2677850
HGNC:39851	ABITRAMP1		
HGNC:76	ABL1	Abl family tyrosine kinases|SH2 domain containing	MGI:87859
HGNC:77	ABL2	SH2 domain containing|Abl family tyrosine kinases	MGI:87860
HGNC:78	ABLIM1	LIM domain containing	MGI:1194500
HGNC:19195	ABLIM2	LIM domain containing|MicroRNA protein coding host genes	MGI:2385758
HGNC:29132	ABLIM3	LIM domain containing	MGI:2442582
HGNC:79	ABO	Blood group antigens|Glycosyltransferase family 6	MGI:2135738
HGNC:81	ABR	MicroRNA protein coding host genes|Dbl family Rho GEFs|C2 domain containing|Pleckstrin homology domain containing	MGI:107771
HGNC:30655	ABRA		MGI:2444891
HGNC:21230	ABRACL		MGI:1920362
HGNC:25829	ABRAXAS1	BRCA1 A complex	MGI:1917931
HGNC:28975	ABRAXAS2	BRISC complex	MGI:1926116
HGNC:17369	ABT1		MGI:1353636
HGNC:39557	ABT1P1		
HGNC:18275	ABTB1	BTB domain containing|Ankyrin repeat domain containing	MGI:1933148
HGNC:23842	ABTB2	BTB domain containing|Ankyrin repeat domain containing	MGI:2139365
HGNC:82	ACAA1		MGI:2148491, MGI:3605455
HGNC:83	ACAA2		MGI:1098623
HGNC:84	ACACA		MGI:108451
HGNC:85	ACACB		MGI:2140940
HGNC:87	ACAD8	Acyl-CoA dehydrogenase family	MGI:1914198
HGNC:21497	ACAD9	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex	MGI:1914272
HGNC:21597	ACAD10	Acyl-CoA dehydrogenase family	MGI:1919235
HGNC:30211	ACAD11	Acyl-CoA dehydrogenase family	MGI:2143169
HGNC:88	ACADL	Acyl-CoA dehydrogenase family	MGI:87866
HGNC:89	ACADM	Acyl-CoA dehydrogenase family	MGI:87867
HGNC:90	ACADS	Acyl-CoA dehydrogenase family	MGI:87868
HGNC:91	ACADSB	Acyl-CoA dehydrogenase family	MGI:1914135
HGNC:92	ACADVL	Acyl-CoA dehydrogenase family	MGI:895149
HGNC:319	ACAN	Hyalectan proteoglycans|C-type lectin domain containing|V-set domain containing|Sushi domain containing	MGI:99602
HGNC:16467	ACAP1	BAR-PH domain containing|ArfGAPs|Ankyrin repeat domain containing	MGI:2388270
HGNC:16469	ACAP2	Ankyrin repeat domain containing|BAR-PH domain containing|ArfGAPs	MGI:1925868
HGNC:41426	ACAP2-IT1	Intronic transcripts	
HGNC:16754	ACAP3	Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing|MicroRNA protein coding host genes	MGI:2153589
HGNC:93	ACAT1		MGI:87870
HGNC:94	ACAT2		MGI:87871, MGI:109182
HGNC:15453	ACBD3	A-kinase anchoring proteins	MGI:2181074
HGNC:40701	ACBD3-AS1	Antisense RNAs	
HGNC:23337	ACBD4		MGI:1914381
HGNC:23338	ACBD5		MGI:1921409
HGNC:23339	ACBD6	MicroRNA protein coding host genes|Ankyrin repeat domain containing	MGI:1919732
HGNC:17715	ACBD7		MGI:1925495
HGNC:23989	ACCS		MGI:1919717
HGNC:34391	ACCSL		MGI:3584519
HGNC:25070	ACD	Shelterin complex	MGI:87873
HGNC:2707	ACE	CD molecules	MGI:87874
HGNC:13557	ACE2		MGI:1917258
HGNC:44365	ACE3P		MGI:3644400
HGNC:18356	ACER1	Alkaline ceramidases	MGI:2181962
HGNC:23675	ACER2	Alkaline ceramidases	MGI:1920932
HGNC:54674	ACER2P1		
HGNC:16066	ACER3	Alkaline ceramidases	MGI:1913440
HGNC:108	ACHE	Blood group antigens	MGI:87876
HGNC:17066	ACIN1	ASAP complex	MGI:1891824
HGNC:4035	ACKR1	Blood group antigens|Atypical chemokine receptors|CD molecules	MGI:1097689
HGNC:1565	ACKR2	Atypical chemokine receptors	MGI:1891697
HGNC:23692	ACKR3	Atypical chemokine receptors	MGI:109562
HGNC:1611	ACKR4	Atypical chemokine receptors	MGI:2181676
HGNC:21142	ACKR4P1		
HGNC:115	ACLY		MGI:103251
HGNC:19288	ACMSD	MicroRNA protein coding host genes	MGI:2386323
HGNC:34504	ACNATP		
HGNC:117	ACO1		MGI:87879
HGNC:118	ACO2		MGI:87880
HGNC:33904	ACOD1		MGI:103206
HGNC:33128	ACOT1	Acyl-CoA thioesterases	MGI:1349396
HGNC:18431	ACOT2	Acyl-CoA thioesterases	MGI:2159605
HGNC:19748	ACOT4	Acyl-CoA thioesterases	MGI:2159621
HGNC:33159	ACOT6	Acyl-CoA thioesterases	MGI:1921287
HGNC:24157	ACOT7	Acyl-CoA thioesterases	MGI:1917275
HGNC:15919	ACOT8	Acyl-CoA thioesterases	MGI:2158201
HGNC:17152	ACOT9	Acyl-CoA thioesterases	MGI:1928939
HGNC:18156	ACOT11	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	MGI:1913736
HGNC:24436	ACOT12	StAR related lipid transfer domain containing|Acyl-CoA thioesterases	MGI:1921406
HGNC:20999	ACOT13	Acyl-CoA thioesterases	MGI:1914084
HGNC:119	ACOX1		MGI:1330812
HGNC:120	ACOX2		MGI:1934852
HGNC:121	ACOX3		MGI:1933156
HGNC:25621	ACOXL		MGI:1921371
HGNC:41112	ACOXL-AS1	Antisense RNAs	
HGNC:122	ACP1	Acid phosphatases|Class II Cys-based phosphatases	MGI:87881
HGNC:123	ACP2	Acid phosphatases	MGI:87882
HGNC:125	ACP3	Acid phosphatases	MGI:1928480
HGNC:14376	ACP4	Acid phosphatases	MGI:3644563
HGNC:124	ACP5	Acid phosphatases	MGI:87883
HGNC:29609	ACP6	Acid phosphatases	MGI:1931010
HGNC:33781	ACP7	Acid phosphatases	MGI:2142121
HGNC:126	ACR		MGI:87884
HGNC:17195	ACRBP	Armadillo like helical domain containing	MGI:1859515
HGNC:54745	ACRP1		
HGNC:127	ACRV1		MGI:104590
HGNC:29567	ACSBG1	Acyl-CoA synthetase family	MGI:2385656
HGNC:24174	ACSBG2	Acyl-CoA synthetase family	MGI:3587728
HGNC:26101	ACSF2	Acyl-CoA synthetase family	MGI:2388287
HGNC:27288	ACSF3	Acyl-CoA synthetase family	MGI:2182591
HGNC:3569	ACSL1	Acyl-CoA synthetase family	MGI:102797
HGNC:3570	ACSL3	Acyl-CoA synthetase family	MGI:1921455
HGNC:40227	ACSL3-AS1	Antisense RNAs	
HGNC:3571	ACSL4	Acyl-CoA synthetase family	MGI:1354713
HGNC:16526	ACSL5	Acyl-CoA synthetase family	MGI:1919129
HGNC:16496	ACSL6	Acyl-CoA synthetase family	MGI:894291
HGNC:40772	ACSL6-AS1	Antisense RNAs	
HGNC:18049	ACSM1	Acyl-CoA synthetase family	MGI:2152200
HGNC:32017	ACSM2A	Acyl-CoA synthetase family	MGI:2385289
HGNC:30931	ACSM2B	Acyl-CoA synthetase family	MGI:2385289
HGNC:10522	ACSM3	Acyl-CoA synthetase family	MGI:99538
HGNC:32016	ACSM4	Acyl-CoA synthetase family	MGI:2681844
HGNC:26060	ACSM5	Acyl-CoA synthetase family	MGI:2444086
HGNC:51295	ACSM5P1		
HGNC:31665	ACSM6	Acyl-CoA synthetase family	
HGNC:16091	ACSS1	Acyl-CoA synthetase family	MGI:1915988
HGNC:15814	ACSS2	Acyl-CoA synthetase family	MGI:1890410
HGNC:24723	ACSS3	Acyl-CoA synthetase family|MicroRNA protein coding host genes	MGI:2685720
HGNC:129	ACTA1	Actins	MGI:87902
HGNC:130	ACTA2	Actins	MGI:87909
HGNC:45169	ACTA2-AS1	Antisense RNAs	
HGNC:132	ACTB	Actins|PBAF complex|BAF complex|GBAF complex	MGI:87904
HGNC:17780	ACTBL2	Actins	MGI:2444552
HGNC:134	ACTBP1		
HGNC:135	ACTBP2		
HGNC:136	ACTBP3		
HGNC:137	ACTBP4		
HGNC:139	ACTBP6		
HGNC:140	ACTBP7		
HGNC:141	ACTBP8		
HGNC:142	ACTBP9		
HGNC:31819	ACTBP10		
HGNC:33971	ACTBP11		
HGNC:150	ACTBP12		
HGNC:44626	ACTBP13		
HGNC:45086	ACTBP14		
HGNC:143	ACTC1	Actins	MGI:87905
HGNC:51491	ACTE1P		MGI:2685344
HGNC:144	ACTG1	Actins	MGI:87906
HGNC:146	ACTG1P1		
HGNC:147	ACTG1P2		
HGNC:148	ACTG1P3		
HGNC:149	ACTG1P4		
HGNC:151	ACTG1P6		
HGNC:152	ACTG1P7		
HGNC:153	ACTG1P8		
HGNC:154	ACTG1P9		
HGNC:155	ACTG1P10		
HGNC:37651	ACTG1P11		
HGNC:44496	ACTG1P12		
HGNC:49058	ACTG1P13		
HGNC:49751	ACTG1P14		
HGNC:51495	ACTG1P15		
HGNC:51496	ACTG1P16		
HGNC:51497	ACTG1P17		
HGNC:51498	ACTG1P18		
HGNC:51499	ACTG1P19		
HGNC:51500	ACTG1P20		
HGNC:51501	ACTG1P21		
HGNC:51502	ACTG1P22		
HGNC:51503	ACTG1P23		
HGNC:49661	ACTG1P24		
HGNC:145	ACTG2	Actins	MGI:104589
HGNC:24124	ACTL6A	PBAF complex|BAF complex|GBAF complex|INO80 complex |SRCAP complex|Actin related proteins	MGI:1861453
HGNC:160	ACTL6B	Actin related proteins|PBAF complex|BAF complex|GBAF complex	MGI:1933548
HGNC:161	ACTL7A	Actin related proteins	MGI:1343051
HGNC:162	ACTL7B	Actin related proteins	MGI:1343053
HGNC:24018	ACTL8	Actin related proteins	
HGNC:28494	ACTL9	Actin related proteins	MGI:1916731
HGNC:16127	ACTL10	Actin related proteins	MGI:1917612
HGNC:163	ACTN1	Actinins	MGI:2137706
HGNC:20131	ACTN1-AS1	Antisense RNAs	
HGNC:164	ACTN2	Actinins	MGI:109192
HGNC:165	ACTN3	Actinins	MGI:99678
HGNC:166	ACTN4	Actinins	MGI:1890773
HGNC:44028	ACTN4P1		
HGNC:44032	ACTN4P2		
HGNC:51621	ACTP1		
HGNC:167	ACTR1A	Actin related proteins	MGI:1858964
HGNC:54703	ACTR1AP1		
HGNC:168	ACTR1B	Actin related proteins	MGI:1917446
HGNC:169	ACTR2	Actin related proteins|Actin related protein 2/3 complex subunits	MGI:1913963
HGNC:170	ACTR3	Actin related protein 2/3 complex subunits|Actin related proteins	MGI:1921367
HGNC:53965	ACTR3-AS1	Antisense RNAs	
HGNC:17256	ACTR3B	Actin related proteins	MGI:2661120
HGNC:37724	ACTR3BP1		
HGNC:38677	ACTR3BP2		
HGNC:38678	ACTR3BP3		
HGNC:38681	ACTR3BP4		
HGNC:38682	ACTR3BP5		
HGNC:38683	ACTR3BP6		
HGNC:37282	ACTR3C	Actin related proteins	
HGNC:31820	ACTR3P1		
HGNC:38676	ACTR3P2		
HGNC:38679	ACTR3P3		
HGNC:14671	ACTR5	INO80 complex |Actin related proteins	MGI:1924748
HGNC:24025	ACTR6	SRCAP complex|Actin related proteins	MGI:1914269
HGNC:44210	ACTR6P1		
HGNC:14672	ACTR8	Actin related proteins|INO80 complex 	MGI:1860775
HGNC:17372	ACTR10	Actin related proteins	MGI:1891654
HGNC:24027	ACTRT1	Actin related proteins	MGI:1920610
HGNC:24026	ACTRT2	Actin related proteins	MGI:1920603
HGNC:24022	ACTRT3	Actin related proteins	MGI:1923902
HGNC:171	ACVR1	Type 1 receptor serine/threonine kinases	MGI:87911
HGNC:172	ACVR1B	Type 1 receptor serine/threonine kinases	MGI:1338944
HGNC:18123	ACVR1C	Type 1 receptor serine/threonine kinases	MGI:2661081
HGNC:173	ACVR2A	Type 2 receptor serine/threonine kinases	MGI:102806
HGNC:174	ACVR2B	Type 2 receptor serine/threonine kinases	MGI:87912
HGNC:44161	ACVR2B-AS1	Antisense RNAs	
HGNC:175	ACVRL1	Type 1 receptor serine/threonine kinases	MGI:1338946
HGNC:177	ACY1		MGI:87913
HGNC:24104	ACY3		MGI:1918920
HGNC:179	ACYP1		MGI:1913454
HGNC:180	ACYP2		MGI:1922822
HGNC:186	ADA	Adenosine deaminase family	MGI:87916
HGNC:1839	ADA2	Adenosine deaminase family	
HGNC:30713	ADAD1	Adenosine deaminases acting on RNA	MGI:103258
HGNC:44550	ADAD1P1		
HGNC:44552	ADAD1P2		
HGNC:30714	ADAD2	Adenosine deaminases acting on RNA	MGI:1923023
HGNC:31853	ADAL	Adenosine deaminase family	MGI:1923144
HGNC:187	ADAM1A	ADAM metallopeptidase domain containing	MGI:2429504
HGNC:44366	ADAM1B	ADAM metallopeptidase domain containing	MGI:2429506
HGNC:198	ADAM2	ADAM metallopeptidase domain containing	MGI:1340894
HGNC:209	ADAM3A	ADAM metallopeptidase domain containing	MGI:102518
HGNC:210	ADAM3B	ADAM metallopeptidase domain containing	
HGNC:212	ADAM5	ADAM metallopeptidase domain containing	MGI:104730
HGNC:213	ADAM6	ADAM metallopeptidase domain containing	MGI:2676316
HGNC:214	ADAM7	ADAM metallopeptidase domain containing	MGI:107247
HGNC:215	ADAM8	ADAM metallopeptidase domain containing|CD molecules	MGI:107825
HGNC:216	ADAM9	ADAM metallopeptidase domain containing	MGI:105376
HGNC:188	ADAM10	ADAM metallopeptidase domain containing|CD molecules	MGI:109548
HGNC:189	ADAM11	ADAM metallopeptidase domain containing	MGI:1098667
HGNC:190	ADAM12	ADAM metallopeptidase domain containing	MGI:105378
HGNC:193	ADAM15	ADAM metallopeptidase domain containing	MGI:1333882
HGNC:195	ADAM17	ADAM metallopeptidase domain containing|CD molecules	MGI:1096335
HGNC:196	ADAM18	ADAM metallopeptidase domain containing	MGI:105986
HGNC:197	ADAM19	ADAM metallopeptidase domain containing	MGI:105377
HGNC:199	ADAM20	ADAM metallopeptidase domain containing	
HGNC:20102	ADAM20P1		
HGNC:43901	ADAM20P2		
HGNC:43902	ADAM20P3		
HGNC:200	ADAM21	ADAM metallopeptidase domain containing	MGI:1861229
HGNC:19822	ADAM21P1		
HGNC:201	ADAM22	ADAM metallopeptidase domain containing	MGI:1340046
HGNC:202	ADAM23	ADAM metallopeptidase domain containing	MGI:1345162
HGNC:203	ADAM24P	ADAM metallopeptidase domain containing	MGI:105984
HGNC:206	ADAM28	ADAM metallopeptidase domain containing	MGI:105988
HGNC:207	ADAM29	ADAM metallopeptidase domain containing	MGI:2676326
HGNC:208	ADAM30	ADAM metallopeptidase domain containing	MGI:1918328
HGNC:15479	ADAM32	ADAM metallopeptidase domain containing	MGI:2653822
HGNC:15478	ADAM33	ADAM metallopeptidase domain containing	MGI:1341813
HGNC:16299	ADAMDEC1		MGI:1917650
HGNC:217	ADAMTS1	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:109249
HGNC:218	ADAMTS2	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1347356
HGNC:219	ADAMTS3	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:3045353
HGNC:220	ADAMTS4	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1339949
HGNC:221	ADAMTS5	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1346321
HGNC:222	ADAMTS6	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1347348
HGNC:223	ADAMTS7	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1347346
HGNC:49407	ADAMTS7P1		
HGNC:49409	ADAMTS7P3		
HGNC:49410	ADAMTS7P4		
HGNC:224	ADAMTS8	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1353468
HGNC:13202	ADAMTS9	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:1916320
HGNC:40625	ADAMTS9-AS1	Antisense RNAs	
HGNC:42435	ADAMTS9-AS2	Antisense RNAs	
HGNC:13201	ADAMTS10	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2449112
HGNC:14605	ADAMTS12	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2146046
HGNC:1366	ADAMTS13	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2685556
HGNC:14899	ADAMTS14	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2179942
HGNC:16305	ADAMTS15	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2449569
HGNC:17108	ADAMTS16	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2429637
HGNC:17109	ADAMTS17	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:3588195
HGNC:17110	ADAMTS18	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2442600
HGNC:17111	ADAMTS19	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2442875
HGNC:40797	ADAMTS19-AS1	Antisense RNAs	
HGNC:17178	ADAMTS20	ADAM metallopeptidases with thrombospondin type 1 motif	MGI:2660628
HGNC:14632	ADAMTSL1	ADAMTS like|I-set domain containing|MicroRNA protein coding host genes	MGI:1924989
HGNC:14631	ADAMTSL2	ADAMTS like	MGI:1925044
HGNC:14633	ADAMTSL3	I-set domain containing|Immunoglobulin like domain containing|ADAMTS like	MGI:3028499
HGNC:19706	ADAMTSL4	MicroRNA protein coding host genes|ADAMTS like	MGI:2389008
HGNC:32041	ADAMTSL4-AS1	Antisense RNAs	
HGNC:40895	ADAMTSL4-AS2	Antisense RNAs	
HGNC:27912	ADAMTSL5	ADAMTS like	MGI:1913798
HGNC:16486	ADAP1	ArfGAPs|Pleckstrin homology domain containing	MGI:2442201
HGNC:16487	ADAP2	Pleckstrin homology domain containing|ArfGAPs	MGI:2663075
HGNC:225	ADAR	Adenosine deaminases acting on RNA	MGI:1889575
HGNC:226	ADARB1	Adenosine deaminases acting on RNA	MGI:891999
HGNC:227	ADARB2	Adenosine deaminases acting on RNA	MGI:2151118
HGNC:23299	ADARB2-AS1	Antisense RNAs	
HGNC:228	ADAT1	Adenosine deaminases acting on RNA	MGI:1353631
HGNC:21172	ADAT2	Adenosine deaminases acting on RNA	MGI:1914007
HGNC:25151	ADAT3	Adenosine deaminases acting on RNA	MGI:1924344
HGNC:19038	ADCK1		MGI:1919363
HGNC:19039	ADCK2		MGI:1889336
HGNC:21738	ADCK5		MGI:2679274
HGNC:229	ADCP1		
HGNC:232	ADCY1	Adenylate cyclases	MGI:99677
HGNC:233	ADCY2	Adenylate cyclases	MGI:99676
HGNC:234	ADCY3	Adenylate cyclases	MGI:99675
HGNC:235	ADCY4	Adenylate cyclases	MGI:99674
HGNC:236	ADCY5	Adenylate cyclases	MGI:99673
HGNC:237	ADCY6	Adenylate cyclases|MicroRNA protein coding host genes	MGI:87917
HGNC:53332	ADCY6-DT	Divergent transcripts	
HGNC:238	ADCY7	MicroRNA protein coding host genes|Adenylate cyclases	MGI:102891
HGNC:239	ADCY8	Adenylate cyclases	MGI:1341110
HGNC:240	ADCY9	Adenylate cyclases	MGI:108450
HGNC:21285	ADCY10	Adenylate cyclases	MGI:2660854
HGNC:44143	ADCY10P1		
HGNC:241	ADCYAP1	Neuropeptides	MGI:105094
HGNC:242	ADCYAP1R1	Vasoactive intestinal peptide receptor family	MGI:108449
HGNC:243	ADD1		MGI:87918
HGNC:244	ADD2		MGI:87919
